2025-07-24 12:24:39,403 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:25:28,523 - WARNING - Type: RECOGNITION_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.7825, Details: No match found with sufficient confidence (score: 0.7825)
2025-07-24 12:26:22,435 - WARNING - Type: RECOGNITION_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.7740, Details: No match found with sufficient confidence (score: 0.7740)
2025-07-24 12:27:06,685 - WARNING - Type: RECOGNITION_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.7574, Details: No match found with sufficient confidence (score: 0.7574)
2025-07-24 12:27:47,849 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:28:17,890 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:28:47,879 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:29:17,872 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:29:47,859 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:30:17,897 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:30:47,941 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:31:18,002 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:31:47,995 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:32:18,012 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:32:48,009 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-24 12:36:55,344 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202000, SessionID: 22062a3d-d844-429c-84dd-69bf2edbcf9f, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-26 14:33:24,726 - WARNING - Type: RECOGNITION_FAILURE, StudentID: UNKNOWN, SessionID: 249c39e5-af28-4dd9-bc54-bc7103ddd535, Score: 0.0000, Details: No match found with sufficient confidence (score: 0.0000)
2025-07-26 14:49:46,571 - WARNING - Type: RECOGNITION_FAILURE, StudentID: UNKNOWN, SessionID: 1cd764b0-55ca-4a77-b6d2-075cc3e2622d, Score: 0.0000, Details: No match found with sufficient confidence (score: 0.0000)
2025-07-26 14:59:39,646 - WARNING - Type: RECOGNITION_FAILURE, StudentID: UNKNOWN, SessionID: 56cf508b-2096-4a49-8820-6a10f825ac8f, Score: 0.0000, Details: No match found with sufficient confidence (score: 0.0000)
2025-07-26 15:43:58,089 - WARNING - Type: RECOGNITION_FAILURE, StudentID: UNKNOWN, SessionID: 482099ca-aaa4-466f-bef8-9d218f3207f6, Score: 0.0000, Details: No match found with sufficient confidence (score: 0.0000)
2025-07-26 16:03:07,459 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: ec3e2018-f9b2-46b6-9d61-e32ee9f1ea02, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-26 16:03:37,475 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: ec3e2018-f9b2-46b6-9d61-e32ee9f1ea02, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-26 16:04:07,525 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: ec3e2018-f9b2-46b6-9d61-e32ee9f1ea02, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-26 16:04:37,539 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: ec3e2018-f9b2-46b6-9d61-e32ee9f1ea02, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-26 16:05:07,536 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: ec3e2018-f9b2-46b6-9d61-e32ee9f1ea02, Score: 0.0000, Details: Please blink naturally and ensure good lighting
2025-07-28 23:14:25,203 - WARNING - Type: LIVENESS_FAILURE, StudentID: s121202059, SessionID: 6a71b315-b434-42ea-b014-94da918f6c94, Score: 0.0000, Details: Please blink naturally and ensure good lighting
